"TreatmentID","TreatmentName","TreatmentGroup","PathogenGroup","type","value","min","max","mode","mean","sd","meanlog","sdlog"
1,"Conventional clarification","Coagulation, flocculation and sedimentation","Bacteria","uniform",NA,0.2,2,NA,NA,NA,NA,NA
1,"Conventional clarification","Coagulation, flocculation and sedimentation","Protozoa","uniform",NA,1,2,NA,NA,NA,NA,NA
1,"Conventional clarification","Coagulation, flocculation and sedimentation","Viruses","uniform",NA,0.1,3.4,NA,NA,NA,NA,NA
2,"Dissolved air flotation","Coagulation, flocculation and sedimentation","Protozoa","uniform",NA,0.6,2.6,NA,NA,NA,NA,NA
3,"High-rate clarification","Coagulation, flocculation and sedimentation","Protozoa","uniform",NA,2,2.8,NA,NA,NA,NA,NA
4,"Lime softening","Coagulation, flocculation and sedimentation","Bacteria","uniform",NA,1,4,NA,NA,NA,NA,NA
4,"Lime softening","Coagulation, flocculation and sedimentation","Protozoa","uniform",NA,0,2,NA,NA,NA,NA,NA
4,"Lime softening","Coagulation, flocculation and sedimentation","Viruses","uniform",NA,2,4,NA,NA,NA,NA,NA
5,"Granular high-rate filtration","Filtration","Bacteria","uniform",NA,0.2,4.4,NA,NA,NA,NA,NA
5,"Granular high-rate filtration","Filtration","Protozoa","uniform",NA,0.4,3.3,NA,NA,NA,NA,NA
5,"Granular high-rate filtration","Filtration","Viruses","uniform",NA,0,3.5,NA,NA,NA,NA,NA
6,"Membrane filtration (micro, ultra-, nanofiltration, reverse osmosis)","Filtration","Bacteria","uniform",NA,1,7,NA,NA,NA,NA,NA
6,"Membrane filtration (micro, ultra-, nanofiltration, reverse osmosis)","Filtration","Protozoa","uniform",NA,2.3,7,NA,NA,NA,NA,NA
6,"Membrane filtration (micro, ultra-, nanofiltration, reverse osmosis)","Filtration","Viruses","uniform",NA,1,6.5,NA,NA,NA,NA,NA
7,"Precoat filtration","Filtration","Bacteria","uniform",NA,0.2,2.3,NA,NA,NA,NA,NA
7,"Precoat filtration","Filtration","Protozoa","uniform",NA,3,6.7,NA,NA,NA,NA,NA
7,"Precoat filtration","Filtration","Viruses","uniform",NA,1,1.7,NA,NA,NA,NA,NA
8,"Slow sand filtration","Filtration","Bacteria","uniform",NA,2,6,NA,NA,NA,NA,NA
8,"Slow sand filtration","Filtration","Protozoa","uniform",NA,0.3,5,NA,NA,NA,NA,NA
8,"Slow sand filtration","Filtration","Viruses","uniform",NA,0.25,4,NA,NA,NA,NA,NA
9,"Bank filtration","Pretreatment","Bacteria","uniform",NA,2,6,NA,NA,NA,NA,NA
9,"Bank filtration","Pretreatment","Protozoa","uniform",NA,1,2,NA,NA,NA,NA,NA
9,"Bank filtration","Pretreatment","Viruses","uniform",NA,2.1,8.3,NA,NA,NA,NA,NA
10,"Roughing filters","Pretreatment","Bacteria","uniform",NA,0.2,2.3,NA,NA,NA,NA,NA
11,"Storage reservoirs","Pretreatment","Bacteria","uniform",NA,0.7,2.2,NA,NA,NA,NA,NA
11,"Storage reservoirs","Pretreatment","Protozoa","uniform",NA,1.4,2.3,NA,NA,NA,NA,NA
12,"Chlorine","Primary disinfection","Bacteria","uniform",NA,2,2,NA,NA,NA,NA,NA
12,"Chlorine","Primary disinfection","Protozoa","uniform",NA,2,2,NA,NA,NA,NA,NA
12,"Chlorine","Primary disinfection","Viruses","uniform",NA,2,2,NA,NA,NA,NA,NA
13,"Chlorine dioxide","Primary disinfection","Bacteria","uniform",NA,2,2,NA,NA,NA,NA,NA
13,"Chlorine dioxide","Primary disinfection","Protozoa","uniform",NA,2,2,NA,NA,NA,NA,NA
13,"Chlorine dioxide","Primary disinfection","Viruses","uniform",NA,2,2,NA,NA,NA,NA,NA
14,"Ozone","Primary disinfection","Bacteria","uniform",NA,2,2,NA,NA,NA,NA,NA
14,"Ozone","Primary disinfection","Protozoa","uniform",NA,2,2,NA,NA,NA,NA,NA
14,"Ozone","Primary disinfection","Viruses","uniform",NA,2,2,NA,NA,NA,NA,NA
15,"UV","Primary disinfection","Bacteria","uniform",NA,4,4,NA,NA,NA,NA,NA
15,"UV","Primary disinfection","Protozoa","uniform",NA,4,4,NA,NA,NA,NA,NA
15,"UV","Primary disinfection","Viruses","uniform",NA,4,4,NA,NA,NA,NA,NA
